"Ejercicio";"Diferencia";"Clave CD:pista";"Título (PDF o Excel)";"Artista";"Nota"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:03";"Paixão de Beata";"do Acordeon, Pinto";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:11";"Pedi ao céu";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:19";"Portela na avenida";"Nunes, Clara";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:01";"Preciso me encontrar";"Monte, Marisa";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"05:04";"Que Nem Vem Vem";"Ramalho, Elba";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:17";"Queixa";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:14";"Rumba Azul";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:21";"Saco de Feijão/Corda no pescoço/Sonhando eu sou feliz (ao vivo)";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:15";"Samba no quintal";"Carvalho, Beth";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:05";"Senhora rezadeira";"Carvalho, Beth";"la clave NO existe en el Excel (CD 04)"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:03";"Sete mil vezes";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:08";"Sing";"Carpenters";"la clave NO existe en el Excel (CD 03)"
"RONDA DE ACTIVACIÓN";"falta en la app";"03:13";"Sonhando Eu Sou Feliz";"Carvalho, Beth";"la clave NO existe en el Excel (CD 03)"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:14";"Stewball";"Baez, Joan";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"01:11";"Tema de Amor de Gabriela";"Costa, Gal / Jobim, Tom";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"14:03";"The Girl From Ipanema (feat. Astrud Gilberto)";"Getz, Stan / Gilberto, João";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:15";"Trem das cores";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"04:18";"Um Canto de Afoxé Para O Bloco do Ilê";"Veloso, Caetano";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"11:17";"Vltava (Die Moldau) [Part] - Symphonic Poem n°2  from cycle 'Ma Vlast'";"Smetana, Bedřich (1824-1884)";"la clave existe en el Excel"
"RONDA DE ACTIVACIÓN";"falta en la app";"02:21";"Xote das meninas";"Monte, Marisa";"la clave existe en el Excel"
"RONDA DE SOLIDARIDAD";"sobra en la app (no está en el PDF)";"01:07";"Ballad of Sir Frankie Crisp";"George Harrison";""
"RONDA DE SOLIDARIDAD";"sobra en la app (no está en el PDF)";"03:17";"Concierto L´amoroso";"Vivaldi";""
"RONDA DE SOLIDARIDAD";"sobra en la app (no está en el PDF)";"04:08";"Canta,canta minha gente";"M. da Vila";""
"RONDA FINAL";"falta en la app";"21:06";"Carnaval de São Vicente";"Evora, Cesaria";"la clave NO existe en el Excel (CD 21)"
"RONDA FINAL";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"RONDA FINAL";"falta en la app";"21:10";"O Amanhã";"Simone";"la clave NO existe en el Excel (CD 21)"
"MARCHA SINÉRGICA";"falta en la app";"06:22";"When The Saints Go Marchin' In";"The New Orleans Banjo Band";"la clave existe en el Excel"
"MARCHA CON MOTIVACIÓN AFECTIVA";"falta en la app";"21:01";"Hello, Goodbye";"The Beatles";"la clave NO existe en el Excel (CD 21)"
"CAMINAR EXALTANDO LA PROPIA PRESENCIA (Llamado también “Iluminación de la propia presencia” o también “Marcha con majestuosidad”)";"falta en la app";"19:13";"Les Voici, les voici, voici la quadrille! (March of the Toreadors) - Carmen - Acte 3 - 2ème tableau";"Bizet, Georges (1838-1875)";"la clave NO existe en el Excel (CD 19)"
"CAMINAR EXALTANDO LA PROPIA PRESENCIA (Llamado también “Iluminación de la propia presencia” o también “Marcha con majestuosidad”)";"falta en la app";"17:13";"Suo Gan (Vocal Ambrosian Junior Choir)";"OST Empire Of The Sun";"la clave existe en el Excel"
"MARCHA ALEGRE";"falta en la app";"21:07";"When You Smile";"Flack, Roberta";"la clave NO existe en el Excel (CD 21)"
"JUEGOS DE VITALIDAD Y DE SAMBA EN GRUPO";"falta en la app";"21:10";"O Amanhã";"Simone";"la clave NO existe en el Excel (CD 21)"
"COORDINACIÓN RÍTMICA EN PARES (llamado también “Caminar en pares”)";"falta en la app";"21:07";"When You Smile";"Flack, Roberta";"la clave NO existe en el Excel (CD 21)"
"SINCRONIZACIÓN RÍTMICA EN PARES";"falta en la app";"21:07";"When You Smile";"Flack, Roberta";"la clave NO existe en el Excel (CD 21)"
"SINCRONIZACIÓN MELÓDICA EN PARES";"falta en la app";"21:13";"Dream A Little Dream Of Me";"Fygi, Laura";"la clave NO existe en el Excel (CD 21)"
"DANZA EN PARES CON RITMOS TROPICALES";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"DANZA RÍTMICA";"falta en la app";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"la clave NO existe en el Excel (CD 21)"
"DANZA RÍTMICA";"falta en la app";"21:12";"Danse de Zorba";"?";"la clave NO existe en el Excel (CD 21)"
"DANZA RÍTMICA";"falta en la app";"21:17";"Zorba's Dance (OST)";"Theodorakis, Mikis (Μίκης Θεοδωράκης)";"la clave NO existe en el Excel (CD 21)"
"DANZA  CREATIVA";"falta en la app";"21:05";"Dialogue du vent et de la mer - La mer, trois esquisses symphoniques - 3";"Debussy, Claude (1862-1918)";"la clave NO existe en el Excel (CD 21)"
"DANZA EN EL CENTRO DE LA RONDA";"falta en la app";"05:12";"O Baile de Bio Laurinda";"Sivuca";"la clave existe en el Excel"
"DANZA CON INTENSIDAD";"falta en la app";"21:12";"Danse de Zorba";"Mikis Theodorakis";"la clave NO existe en el Excel (CD 21)"
"DANZA CON INTENSIDAD";"falta en la app";"21:08";"When The Saints Go Marchin' In";"Jackson, Mahalia";"la clave NO existe en el Excel (CD 21)"
"DANZA RÍTMICA EXPRESIVA";"falta en la app";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"la clave NO existe en el Excel (CD 21)"
"DANZA DE EXPRESIÓN AFECTIVA";"falta en la app";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"la clave NO existe en el Excel (CD 19)"
"DANZA DE EXPRESIÓN AFECTIVA";"falta en la app";"21:02";"Freude (Hymne à la joie) [Part] (Cluytens) - Sinfonie 9 d-moll, op.125 - 4";"Beethoven, Ludwig van (1770-1827)";"la clave NO existe en el Excel (CD 21)"
"DANZAR PARA EL OTRO";"sobra en la app (no está en el PDF)";"08:07";"Viento del Arena";"Gipsy Kings";""
"DANZAR PARA EL OTRO";"sobra en la app (no está en el PDF)";"08:10";"Unforgettable";"Aretha Franklin";""
"DANZAR PARA EL OTRO";"sobra en la app (no está en el PDF)";"14:17";"What ´s a difference a day made";"Aretha Franklin";""
"DANZAR PARA EL OTRO";"sobra en la app (no está en el PDF)";"16:06";"Baby, It's Cold Outside";"Ray, Charles & Carter, Betty";""
"DANZA DE SEDUCCIÓN";"falta en la app";"14:17";"What A Diff'rence A Day Made";"Franklin, Aretha";"la clave existe en el Excel"
"MOVIMIENTO SEGMENTARIO DE CUELLO DE A DOS";"sobra en la app (no está en el PDF)";"02:01";"Oh my love";"John Lennon";""
"MOVIMIENTO SEGMENTARIO DE CUELLO DE A DOS";"sobra en la app (no está en el PDF)";"09:03";"Bilitis";"Zamfir";""
"MOVIMIENTO SEGMENTARIO DE CUELLO DE A DOS";"sobra en la app (no está en el PDF)";"09:13";"Who Can See It";"Harrison, George";""
"MOVIMIENTO SEGMENTARIO DE CUELLO DE A DOS";"sobra en la app (no está en el PDF)";"09:19";"Adag Conc Nº 1";"Bach";""
"ENCUENTRO DE MANOS Y MIRADAS";"falta en la app";"21:04";"El Día en Que me Quieras";"4:18";"la clave NO existe en el Excel (CD 21)"
"ENCUENTRO DE MANOS Y MIRADAS";"sobra en la app (no está en el PDF)";"11:05";"Evening Falls…";"Enya";""
"ENCUENTRO DE MANOS Y MIRADAS";"sobra en la app (no está en el PDF)";"18:07";"Eric´s theme";"Vangelis";""
"ENCUENTROS PULSANTES";"falta en la app";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"la clave NO existe en el Excel (CD 21)"
"ENCUENTRO EPIFÁNICO";"falta en la app";"21:04";"El Día en Que me Quieras";"4:18";"la clave NO existe en el Excel (CD 21)"
"ENCUENTROS DIVERSOS";"falta en la app";"21:04";"El Día Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"la clave NO existe en el Excel (CD 21)"
"ENCUENTROS DIVERSOS";"falta en la app";"21:18";"Metello";"Morricone, Ennio";"la clave NO existe en el Excel (CD 21)"
"BAUTISMO DE LUZ";"falta en la app";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"la clave NO existe en el Excel (CD 19)"
"DANZA DE CONTACTO MÍNIMO (o ""Danza de contacto sensible"")";"falta en la app";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"la clave NO existe en el Excel (CD 21)"
"DANZA PULSANTE DE CORAZÓN A CORAZÓN";"falta en la app";"21:09";"My Way (live)";"Presley, Elvis";"la clave NO existe en el Excel (CD 21)"
"CARICIAS DE MANOS EN PARES";"falta en la app";"21:16";"Wild Is The Wind";"Simone, Nina";"la clave NO existe en el Excel (CD 21)"
"CARICIAS DEL ROSTRO EN PARES";"falta en la app";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"la clave NO existe en el Excel (CD 21)"
"COMPRESIÓN Y DESCOMPRESIÓN DE LAS MANOS _ Pulsar de Manos";"falta en la app";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"la clave NO existe en el Excel (CD 21)"
"DAR Y RECIBIR CONTINENTE EN PARES (o “Acunar en el regazo"" o “Acunar al otro”)";"falta en la app";"21:18";"Metello";"Morricone, Ennio";"la clave NO existe en el Excel (CD 21)"
"PROTECCIÓN AFECTIVA CON CARICIAS DE PECHO Y BRAZOS";"falta en la app";"21:18";"Metello";"Morricone, Ennio";"la clave NO existe en el Excel (CD 21)"
"GRUPO COMPACTO DE CARICIAS";"falta en la app";"12:21";"Who Needs Forever";"Peixoto, Araken";"la clave existe en el Excel"
"TÚNEL DE CARICIAS";"falta en la app";"13:09";"Voz e Suor";"Caymmi, Nana";"la clave existe en el Excel"
"DANZA YANG CON GRITO";"sobra en la app (no está en el PDF)";"19:12";"Corcovado";"Laura Fygi";""
"DANZA YIN";"falta en la app";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"la clave NO existe en el Excel (CD 19)"
"CONEXIÓN A LA GLORIA DE VIVIR";"falta en la app";"21:02";"Freude (Hymne à la joie) [Part] (Cluytens) - Sinfonie 9 d-moll, op.125 - 4";"Beethoven, Ludwig van (1770-1827)";"la clave NO existe en el Excel (CD 21)"
"EXPRESIÓN DE LA MASCULINIDAD";"falta en la app";"21:17";"Zorba's Dance (OST)";"Theodorakis, Mikis (Μίκης Θεοδωράκης)";"la clave NO existe en el Excel (CD 21)"
"RECIBIR";"falta en la app";"09:03";"Bilitis";"Zamfir, Gheorghe";"la clave existe en el Excel"
"RECIBIR";"falta en la app";"17:05";"Ponteio";"Branco, Waltel";"la clave existe en el Excel"
"RECIBIR";"falta en la app";"10:20";"V podvečer (At Twilight), Idyll for Orchestra - Op.39 {Mistaked Known as Poème op.41, No.6}";"Fibich, Zděnek (1850-1900)";"la clave existe en el Excel"
"DANZA DE LA CREACIÓN";"falta en la app";"15:19";"Finlandia 'Symphonic poem' op. 26 (Munih)";"Sibelius, Jean (1865-1957)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"01:20";"Adagio - Concerto in re minore per oboe, archi e BC - 2, SF 935";"Marcello, Alessandro (1669-1747)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"17:15";"Adagio - Streichquintett in C-Dur - 2, op.post.163 D 956";"Schubert, Franz (1797-1828)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"01:19";"Allegro - Concerto 'La primavera' in Mi Maggiore - 1 (Le quattro stagioni op.8/1, RV 269)";"Vivaldi, Antonio (1678-1741)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"17:16";"Ave Maria (after Johann Sebastian Bach)";"Gounod, Charles (1818-1893)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"09:03";"Bilitis";"Zamfir, Gheorghe";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"17:07";"Clair de lune [Orchestral version] Suite Bergamasque pour piano - 3";"Debussy, Claude (1862-1918)";"la clave existe en el Excel"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"17:19";"Gloria in excelsis Deo (Trevor Pinnock) - Gloria in Re Maggiore - 1, RV 589";"Vivaldi, Antonio (1678-1741)";"la clave NO existe en el Excel (CD 17)"
"TRANCE  DE  SUSPENSIÓN";"falta en la app";"17:04";"L'horloge de ma vie";"Posit, Jean-Pierre";"la clave existe en el Excel"
"DANZA DEL ÁNGEL DEL AMOR";"falta en la app";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"la clave NO existe en el Excel (CD 21)"
"DANZA DEL ÁNGEL DE LA ILUMINACIÓN";"falta en la app";"18:03";"Largo - Concerto in re minore - 2 (Il cimento dell'armonia e dell'inventione op.8/7, RV 242)";"Vivaldi, Antonio (1678-1741)";"la clave existe en el Excel"
"DANZA DEL AGUA";"falta en la app";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"la clave NO existe en el Excel (CD 21)"
"ANIMACIÓN DEL MOVIMIENTO";"falta en la app";"21:06";"Carnaval de São Vicente";"Evora, Cesaria";"la clave NO existe en el Excel (CD 21)"
"ANIMACIÓN DEL MOVIMIENTO";"falta en la app";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"la clave NO existe en el Excel (CD 21)"
"ANIMACIÓN DE A DOS";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"DANZA LIBRE";"falta en la app";"21:10";"O Amanhã";"Simone";"la clave NO existe en el Excel (CD 21)"
"DANZA EN PARES";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"DANZA EN PARES";"falta en la app";"21:13";"Dream A Little Dream Of Me";"Fygi, Laura";"la clave NO existe en el Excel (CD 21)"
"DANZA DE ACTIVACIÓN EN PARES";"falta en la app";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"la clave NO existe en el Excel (CD 21)"
"MARCHA EN PARES (para autoregulación)";"falta en la app";"14:03";"The Girl From Ipanema (feat. Astrud Gilberto)";"Getz, Stan / Gilberto, João";"la clave existe en el Excel"
