"Ejercicio";"Clave PDF";"Título";"Artista";"Motivo"
"DANZA CON INTENSIDAD";"21:12";"Danse de Zorba";"Mikis Theodorakis";"no existe en el disco (CD 21)"
"DANZA CON INTENSIDAD";"19:09";"Epílogo (Final) - Floresta do Amazonas";"Villa-Lobos, Heitor (1887-1959)";"en el disco 19:09 hay otra canción: All of me"
"DANZA RÍTMICA EXPRESIVA";"20:09";"All Of Me (live)";"Fygi, Laura";"en el disco 20:09 hay otra canción: Zorba’s dance"
"DANZA RÍTMICA EXPRESIVA";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"no existe en el disco (CD 21)"
"DANZA DE EXPRESIVIDAD";"19:03";"I Just Wanna Make Love To You";"Hines, Earl";"en el disco 19:03 hay otra canción: All together now"
"DANZA DE EXPRESIÓN AFECTIVA";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"no existe en el disco (CD 19)"
"DANZA DE EXPRESIÓN AFECTIVA";"21:02";"Freude (Hymne à la joie) [Part] (Cluytens) - Sinfonie 9 d-moll, op.125 - 4";"Beethoven, Ludwig van (1770-1827)";"no existe en el disco (CD 21)"
"DANZA DE EXPRESIÓN AFECTIVA";"03:20";"Hallelujah - Messiah, HWV 56 - Part II/42";"Haendel, Georg Friedrich (1685-1759)";"en el disco 03:20 hay otra canción: Aleluya"
"DANZA DE EXTENSIÓN ARMÓNICA";"08:15";"Quintessence";"Jones, Quincy & His Orchestra";"en el disco 08:15 hay otra canción: The Quintesence"
"ELASTICIDAD INTEGRATIVA";"08:15";"Quintessence";"Jones, Quincy & His Orchestra";"en el disco 08:15 hay otra canción: The Quintesence"
"DANZA DE FLUIDEZ CON IMÁGENES";"09:19";"Adagio - Concerto Brandebourgeois 1 - 2, F-Dur BWV 1046";"Bach, Johann Sebastian (1685-1750)";"en el disco 09:19 hay otra canción: Adag Conc Nº 1"
"DANZA DE FLUIDEZ CON IMÁGENES";"19:16";"Andantino Siciliano - Concerto n°1 per chitarra e archi in La Maggiore op.30 - 2";"Giuliani, Mauro (1781-1829)";"en el disco 19:16 hay otra canción: My aphrodisiac is you"
"DANZA DE OPOSICIÓN ARMÓNICA";"19:09";"Epílogo (Final) - Floresta do Amazonas";"Villa-Lobos, Heitor (1887-1959)";"en el disco 19:09 hay otra canción: All of me"
"DANZA DE EUTONÍA (de dedos)";"09:18";"Larghetto (Transcr for Flute-Organ) Violin sonata N° 13 D Major - 3, op.11 HWV 371";"Haendel, Georg Friedrich (1685-1759)";"en el disco 09:18 hay otra canción: Laghetto Sonata in Re"
"EUTONÍA EN GRUPO DE TRES";"09:18";"Larghetto (Transcr for Flute-Organ) Violin sonata N° 13 D Major - 3, op.11 HWV 371";"Haendel, Georg Friedrich (1685-1759)";"en el disco 09:18 hay otra canción: Laghetto Sonata in Re"
"MOVIMIENTO SEGMENTARIO DE CUELLO";"09:19";"Bach, Johann Sebastian (1685-1750) Adagio - Concerto Brandebourgeois 1 - 2,  F-Dur BWV 1046";"4:07";"en el disco 09:19 hay otra canción: Adag Conc Nº 1"
"MOVIMIENTO SEGMENTARIO DE HOMBROS";"09:19";"Adagio - Concerto Brandebourgeois 1 - 2, F-Dur BWV 1046";"Bach, Johann Sebastian (1685-1750)";"en el disco 09:19 hay otra canción: Adag Conc Nº 1"
"MOVIMIENTO SEGMENTARIO DE PECHO-BRAZOS";"09:18";"Larghetto (Transcr for Flute-Organ) Violin sonata N° 13 D Major - 3, op.11 HWV 371";"Haendel, Georg Friedrich (1685-1759)";"en el disco 09:18 hay otra canción: Laghetto Sonata in Re"
"ENCUENTRO FUGAZ";"01:21";"Air (on the G-string) - Orchester-Suite 3 D- Dur - 2, BWV 1068";"Bach, Johann Sebastian (1685-1750)";"en el disco 01:21 hay otra canción: Aria della corda sol"
"ENCUENTRO DE MANOS Y MIRADAS";"21:04";"El Día en Que me Quieras";"4:18";"no existe en el disco (CD 21)"
"ENCUENTROS PULSANTES";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"no existe en el disco (CD 21)"
"ENCUENTRO EPIFÁNICO";"21:04";"El Día en Que me Quieras";"4:18";"no existe en el disco (CD 21)"
"ENCUENTROS DIVERSOS";"21:04";"El Día Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"no existe en el disco (CD 21)"
"ENCUENTROS DIVERSOS";"03:20";"Hallelujah - Messiah, HWV 56 - Part II/42";"Haendel, Georg Friedrich (1685-1759)";"en el disco 03:20 hay otra canción: Aleluya"
"ENCUENTROS DIVERSOS";"21:18";"Metello";"Morricone, Ennio";"no existe en el disco (CD 21)"
"BAUTISMO DE LUZ";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"no existe en el disco (CD 19)"
"DANZA DE CONTACTO MÍNIMO (o ""Danza de contacto sensible"")";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"no existe en el disco (CD 21)"
"DANZA DE CONTACTO MÍNIMO (o ""Danza de contacto sensible"")";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"DANZA PULSANTE DE CORAZÓN A CORAZÓN";"21:09";"My Way (live)";"Presley, Elvis";"no existe en el disco (CD 21)"
"CARICIAS ANÓNIMAS DE MANOS EN GRUPO DE CINCO";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"CARICIAS DE ESPALDA EN PARES";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"CARICIAS DE MANOS EN PARES";"21:16";"Wild Is The Wind";"Simone, Nina";"no existe en el disco (CD 21)"
"CARICIAS DEL ROSTRO EN PARES";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"no existe en el disco (CD 21)"
"CARICIAS DEL ROSTRO EN PARES";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"CARICIAS DE LAS PROPIAS MANOS";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"CARICIAS SENSIBLES DE CABELLOS EN PARES";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"CARICIAS SENSIBLES DE CABELLOS EN PARES";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"COMPRESIÓN Y DESCOMPRESIÓN DE LAS MANOS _ Pulsar de Manos";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"no existe en el disco (CD 21)"
"DAR Y RECIBIR CONTINENTE EN PARES (o “Acunar en el regazo"" o “Acunar al otro”)";"21:18";"Metello";"Morricone, Ennio";"no existe en el disco (CD 21)"
"DAR Y RECIBIR CONTINENTE EN PARES (o “Acunar en el regazo"" o “Acunar al otro”)";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"PROTECCIÓN AFECTIVA CON CARICIAS DE PECHO Y BRAZOS";"21:18";"Metello";"Morricone, Ennio";"no existe en el disco (CD 21)"
"CARICIAS DE UN COMPAÑERO EN GRUPO DE TRES";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"CARICIAS DE UN COMPAÑERO EN GRUPO DE TRES";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"CARICIAS DE UN COMPAÑERO EN GRUPO DE CINCO";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"GRUPO COMPACTO DE MECIMIENTO";"11:18";"Photographs";"Mouskouri, Nana (Nάνα Μούσχουρη)";"en el disco 11:18 hay otra canción: Photograps"
"GRUPO COMPACTO DE CARICIAS";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"DANZA DE TRANCE";"19:10";"Maybe God Is Tryin' To Tell You Somethin' (Vocal Tata Vega)";"OST The Color Purple";"en el disco 19:10 hay otra canción: Diamonds are a girl’s best friend"
"DANZA YANG";"19:09";"Epílogo (Final) - Floresta do Amazonas";"Villa-Lobos, Heitor (1887-1959)";"en el disco 19:09 hay otra canción: All of me"
"DANZA YANG CON GRITO";"20:11";"Koro";"?";"en el disco 20:11 hay otra canción: Dream a little dream"
"DANZA YIN";"19:19";"Cavalleria Rusticana, XVIII. Intermezzo sinfonico";"Mascagni, Pietro (1863-1945)";"no existe en el disco (CD 19)"
"DANZA DE LA SERPIENTE";"08:15";"Quintessence";"Jones, Quincy & His Orchestra";"en el disco 08:15 hay otra canción: The Quintesence"
"DANZA DEL HIPOPÓTAMO";"19:04";"Ray's Blues";"Charles, Ray";"en el disco 19:04 hay otra canción: With a little help from my friends"
"DANZA DE LAS TRANSFORMACIONES Y EL MITO DE SHIVA";"20:18";"Tan Xingquing Park";"Shanti, Oliver & Friends";"en el disco 20:18 hay otra canción: Sinfonia 9"
"CONEXIÓN A LA GLORIA DE VIVIR";"21:02";"Freude (Hymne à la joie) [Part] (Cluytens) - Sinfonie 9 d-moll, op.125 - 4";"Beethoven, Ludwig van (1770-1827)";"no existe en el disco (CD 21)"
"CONEXIÓN CON LA PROPIA FUERZA";"19:12";"Sundance";"Kitaro (喜多郎)";"en el disco 19:12 hay otra canción: Corcovado"
"DANZA DE OPRESIÓN-LIBERACIÓN";"19:08";"Daphnis et Chloé (Ozawa) - Danse finale Bacchanale - Ballet, 3ème tableau - III";"Ravel, Maurice (1875-1937)";"en el disco 19:08 hay otra canción: That old feeling"
"EXPRESIÓN DE LA FEMINIDAD";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"EXPRESIÓN DE LA MASCULINIDAD";"21:17";"Zorba's Dance (OST)";"Theodorakis, Mikis (Μίκης Θεοδωράκης)";"no existe en el disco (CD 21)"
"PERCEPCIÓN DEL OTRO CON LOS CINCO SENTIDOS";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"DETERMINACIÓN";"18:14";"Allegro [Part] - Sinfonie 6 F-Dur op.68 - 4 (Gewitter-Sturm)";"Beethoven, Ludwig van (1770-1827)";"en el disco 18:14 hay otra canción: Allegro Tempestad Sinfon N6 pastoral"
"CONEXIÓN CON LO PRIMORDIAL";"18:12";"Song Of Lamentation [Part] {End Part of 'Sanctus. Bwala Dance'}";"Fanshawe, David";"en el disco 18:12 hay otra canción: Canzone del latte"
"ENCUENTRO CON EL HERMANO";"03:20";"Hallelujah - Messiah, HWV 56 - Part II/42";"Haendel, Georg Friedrich (1685-1759)";"en el disco 03:20 hay otra canción: Aleluya"
"ELEVACIÓN";"09:19";"Adagio - Concerto Brandebourgeois 1 - 2, F-Dur BWV 1046";"Bach, Johann Sebastian (1685-1750)";"en el disco 09:19 hay otra canción: Adag Conc Nº 1"
"ELEVACIÓN";"01:21";"Air (on the G-string) - Orchester-Suite 3 D- Dur - 2, BWV 1068";"Bach, Johann Sebastian (1685-1750)";"en el disco 01:21 hay otra canción: Aria della corda sol"
"DANZA DE AMOR 3 - POSICIONES SECUENCIALES DE PLACER";"19:05";"I Wanna Be Loved";"Horn, Shirley";"en el disco 19:05 hay otra canción: When I’m Sixty Four"
"TRANCE  DE  SUSPENSIÓN";"17:19";"Gloria in excelsis Deo (Trevor Pinnock) - Gloria in Re Maggiore - 1, RV 589";"Vivaldi, Antonio (1678-1741)";"no existe en el disco (CD 17)"
"DANZA DEL ÁNGEL DEL AMOR";"21:04";"El Día en Que me Quieras";"Barenboïm, Daniel / Mederos, Rodolfo / 4:18";"no existe en el disco (CD 21)"
"DANZA DEL ÁNGEL DE LA ILUMINACIÓN";"09:19";"Adagio - Concerto Brandebourgeois 1 - 2, F-Dur BWV 1046";"Bach, Johann Sebastian (1685-1750)";"en el disco 09:19 hay otra canción: Adag Conc Nº 1"
"DANZA DE LA TIERRA";"19:02";"Down In Belgorod";"Winter, Paul";"en el disco 19:02 hay otra canción: Yellow submarine"
"DANZA DE LA TIERRA";"19:01";"Présence";"Guem";"en el disco 19:01 hay otra canción: Ay Fond Kiss"
"DANZA DEL FUEGO";"19:07";"Canción del amor dolido (Vocal Teresa Berganza)";"de Falla, Manuel (1876-1946)";"en el disco 19:07 hay otra canción: A mi manera"
"DANZA DEL FUEGO";"19:06";"Danza ritual del fuego";"de Falla, Manuel (1876-1946)";"en el disco 19:06 hay otra canción: I’ve got a woman"
"DANZA DEL AGUA";"21:14";"Clair de lune - Harp transcription, Suite Bergamasque pour piano";"Debussy, Claude (1862-1918)";"no existe en el disco (CD 21)"
"DANZA DEL AGUA";"19:17";"Joy";"Mourashkin, Boris";"en el disco 19:17 hay otra canción: Mockingbird song"
"DANZA DE TIERRA Y AIRE";"19:02";"Down In Belgorod";"Winter, Paul";"en el disco 19:02 hay otra canción: Yellow submarine"
"ANIMACIÓN DEL MOVIMIENTO";"21:03";"Charleston";"Light, Enoch & The Light Brigade";"no existe en el disco (CD 21)"
"ANIMACIÓN DE A DOS";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
"DANZA EN PARES";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
"DANZA EN PARES";"05:12";"O Baile de Bio Laurinda";"Sivuca";"en el disco 05:12 hay otra canción: Fava de cheiro"
"DANZA DE ACTIVACIÓN EN PARES";"20:12";"Corcovado (live)";"Fygi, Laura";"en el disco 20:12 hay otra canción: My way"
"DANZA DE ACTIVACIÓN EN PARES";"21:11";"Danadinho Danado (com Martinho da Vila)";"Simone";"no existe en el disco (CD 21)"
